
SetupTitle, ExfoliatedMoS2_TGIdVg
PrimitiveTest, I/V Sweep
TestParameter, Measurement.Monitor.RangeRating, BY FULL RANGE, BY FULL RANGE, BY FULL RANGE, BY FULL RANGE
TestParameter, Measurement.Monitor.RangeRatingCoeff, 50, 50, 50, 50
TestParameter, Measurement.Timing.Hold, 0
TestParameter, Measurement.Timing.Delay, 0
TestParameter, Measurement.Adc.HighSpeed.Mode, AUTO
TestParameter, Measurement.Adc.HighSpeed.Coeff, 1
TestParameter, Measurement.Adc.HighResolution.AutoZero, OFF
TestParameter, Measurement.Adc.HighResolution.Mode, AUTO
TestParameter, Measurement.Adc.HighResolution.Coeff, 6
TestParameter, Measurement.WaitTime.Source.Coeff, 1
TestParameter, Measurement.WaitTime.Source.Offset, 0
TestParameter, Measurement.WaitTime.Monitor.Coeff, 1
TestParameter, Measurement.WaitTime.Monitor.Offset, 0
TestParameter, Output.Graph.Enabled, true
TestParameter, Output.Graph.AutoScaling, false
TestParameter, Output.Graph.XAxis.Data, VTG
TestParameter, Output.Graph.XAxis.Scale, Linear
TestParameter, Output.Graph.XAxis.Left, -1
TestParameter, Output.Graph.XAxis.Right, 1
TestParameter, Output.Graph.XAxis.RunTimeAutoScale, false
TestParameter, Output.Graph.YAxis.Data, ID, ITG
TestParameter, Output.Graph.YAxis.Scale, Linear, Linear
TestParameter, Output.Graph.YAxis.Bottom, -0.1, -0.001
TestParameter, Output.Graph.YAxis.Top, 0.1, 0.001
TestParameter, Output.Graph.YAxis.Group, , 
TestParameter, Output.Graph.YAxis.RunTimeAutoScale, true, false
TestParameter, Output.List.Data, VTG, ID, VD, Vbg, Ibg, ITG, IS
TestParameter, AutoAnalysis.Interpolation, false
TestParameter, AutoAnalysis.Line1.Enabled, false
TestParameter, AutoAnalysis.Line1.Type, 1
TestParameter, AutoAnalysis.Line1.Fix, True
TestParameter, AutoAnalysis.Line1.YAxis, 0
TestParameter, AutoAnalysis.Line1.Point1.Type, 0
TestParameter, AutoAnalysis.Line1.Point1.XY.X, 
TestParameter, AutoAnalysis.Line1.Point1.XY.Y, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Var, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Condition, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Start, false
TestParameter, AutoAnalysis.Line1.Point1.Data.StartVar, 
TestParameter, AutoAnalysis.Line1.Point1.Data.StartCondition, 
TestParameter, AutoAnalysis.Line1.Point2.Type, 0
TestParameter, AutoAnalysis.Line1.Point2.XY.X, 
TestParameter, AutoAnalysis.Line1.Point2.XY.Y, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Var, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Condition, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Start, false
TestParameter, AutoAnalysis.Line1.Point2.Data.StartVar, 
TestParameter, AutoAnalysis.Line1.Point2.Data.StartCondition, 
TestParameter, AutoAnalysis.Line1.GradientExpr, 0
TestParameter, AutoAnalysis.Line2.Enabled, false
TestParameter, AutoAnalysis.Line2.Type, 1
TestParameter, AutoAnalysis.Line2.Fix, True
TestParameter, AutoAnalysis.Line2.YAxis, 0
TestParameter, AutoAnalysis.Line2.Point1.Type, 0
TestParameter, AutoAnalysis.Line2.Point1.XY.X, 
TestParameter, AutoAnalysis.Line2.Point1.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point1.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point1.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.Point2.Type, 0
TestParameter, AutoAnalysis.Line2.Point2.XY.X, 
TestParameter, AutoAnalysis.Line2.Point2.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point2.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point2.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.GradientExpr, 0
TestParameter, AutoAnalysis.Marker.Enabled, false
TestParameter, AutoAnalysis.Marker.Data.Var, 
TestParameter, AutoAnalysis.Marker.Data.Condition, 
TestParameter, AutoAnalysis.Marker.Data.Start, false
TestParameter, AutoAnalysis.Marker.Data.StartVar, 
TestParameter, AutoAnalysis.Marker.Data.StartCondition, 
MetaData, TestRecord.EntryPoint, true
MetaData, TestRecord.RecordTime, 10/06/2025 14:03:01
MetaData, TestRecord.TestTarget, E41-I18
MetaData, TestRecord.IterationIndex, 3
MetaData, TestRecord.Preservation, true
MetaData, TestRecord.Flag, 
MetaData, TestRecord.Remarks, 
MetaData, TestRecord.LinkKey, 300769fa-34da-4b2d-b304-15af53f08e0b
AnalysisSetup, Analysis.Setup.Vector.Graph.Enabled, true
AnalysisSetup, Analysis.Setup.Vector.Graph.ActiveYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.LeftYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.RightYAxis, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Name, VTG
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.GroupName, 
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.RunTimeAutoScale, false
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Unit, V
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Scale, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Left, -2
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Right, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Name, ID, ITG
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.GroupName, , 
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.RunTimeAutoScale, true, false
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Unit, A, A
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Scale, Log, Log
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Bottom, 1E-10, -1E-11
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Top, 1E-06, -1E-14
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Interpolation, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Index, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Step, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Active, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalX, 0.66666666666666663
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalY, -0.065217391304347672
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalX, 0.66666666666666663
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalY, -0.065217391304347672
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalX, 0.66666666666666663
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalY, -0.065217391304347672
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalX, 0.66666666666666663
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalY, -0.065217391304347672
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalX, 0.66666666666666663
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalY, -0.065217391304347672
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.BackgroundColor, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.TextColor, -16777216
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridColor, -3618616
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineColor, -65336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelColor, -11513776
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeToColor, -24416
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelStyle, Adjacent
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotColor, -16777036
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotColor, -39936
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotColor, -16731136
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotColor, -8892376
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotColor, -65536
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotColor, -14336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotColor, -6946586
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotColor, -16733546
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Scale.LogTickedDecadeCount, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LogoVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.SetupSummaryVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeColorEnabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MinorTicksValueVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ParametersVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridNumberFixity, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.AddsVerticalMargin, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Notes, [VAR1] Unit=SMU4:HR, Name=VTG, Direction=Double, Linear/Log=LINEAR, Start=-2 V, Stop=1 V, Step=15 mV, No. of Steps=201, Compliance=5 mA, Pwr Comp=OFF	[VAR2] Unit=SMU2:HR, Name=VD, Start=100 mV, Stop=1 V, Step=300 mV, No. of Steps=4, Compliance=5 mA, Pwr Comp=OFF	[CONSTANTS] Unit=SMU1:HR, Name=VS, Source Mode=V, Source=0 V, Compliance=100 mA	[CONSTANTS] Unit=SMU3:HR, Name=Vbg, Source Mode=V, Source=500 mV, Compliance=100 mA
AnalysisSetup, Analysis.Setup.Vector.Graph.SetupInfo, VD	0.1,0.4,0.7,1	0.1	0.3	4
AnalysisSetup, Analysis.Setup.Vector.List.Datum.Name, VTG, ID, VD, Vbg, Ibg, ITG, IS
AnalysisSetup, Analysis.Setup.Vector.List.Datum.Unit, V, A, V, V, A, A, A
AnalysisSetup, Analysis.Setup.Preference.GraphVisible, true
AnalysisSetup, Analysis.Setup.Preference.ListVisible, true
AnalysisSetup, Analysis.Setup.Preference.ScalarVisible, true
AnalysisSetup, Analysis.Setup.Title, ExfoliatedMoS2_TGIdVg
Dimension1, 402, 402, 402, 402, 402, 402, 402
Dimension2, 4, 4, 4, 4, 4, 4, 4
DataName, VTG, VD, Vbg, ID, IS, ITG, Ibg
DataValue, -2, 0.1, 0.5, 8.8718E-10, -9.2027000000000007E-10, -5.34E-12, 5.8700000000000006E-12
DataValue, -1.985, 0.1, 0.5, 9.735E-10, -9.7625E-10, -3.33E-12, 7.8E-12
DataValue, -1.9700000000000002, 0.1, 0.5, 1.00578E-09, -1.00797E-09, -3.46E-12, 8.11E-12
DataValue, -1.955, 0.1, 0.5, 1.0285300000000002E-09, -1.0298300000000002E-09, -4.17E-12, 5.74E-12
DataValue, -1.9400000000000002, 0.1, 0.5, 1.04647E-09, -1.04915E-09, -2.04E-12, 2.7800000000000003E-12
DataValue, -1.925, 0.1, 0.5, 1.08063E-09, -1.08499E-09, -4.03E-12, 2.2700000000000002E-12
DataValue, -1.9100000000000001, 0.1, 0.5, 1.1215800000000002E-09, -1.12178E-09, -2.37E-12, 7.55E-12
DataValue, -1.895, 0.1, 0.5, 1.1406900000000001E-09, -1.1484E-09, -1.9E-12, 3.15E-12
DataValue, -1.8800000000000001, 0.1, 0.5, 1.1708E-09, -1.1771E-09, -1.6300000000000001E-12, 5.28E-12
DataValue, -1.865, 0.1, 0.5, 1.2125E-09, -1.2187E-09, -2.64E-12, 7.6E-12
DataValue, -1.85, 0.1, 0.5, 1.2556E-09, -1.2586E-09, -1.8100000000000002E-12, 4.18E-12
DataValue, -1.8350000000000002, 0.1, 0.5, 1.2956E-09, -1.2859E-09, -2.9900000000000004E-12, 2.77E-12
DataValue, -1.82, 0.1, 0.5, 1.3036E-09, -1.2984E-09, -7E-13, 1.2000000000000002E-13
DataValue, -1.8050000000000002, 0.1, 0.5, 1.355E-09, -1.3476E-09, -3.6400000000000006E-12, -2.9000000000000003E-13
DataValue, -1.79, 0.1, 0.5, 1.3788E-09, -1.3764E-09, -6.400000000000001E-13, 1.03E-12
DataValue, -1.7750000000000001, 0.1, 0.5, 1.4006E-09, -1.4014E-09, -1.2500000000000001E-12, 2.82E-12
DataValue, -1.76, 0.1, 0.5, 1.4368E-09, -1.4495E-09, -1.6300000000000001E-12, 8.0800000000000011E-12
DataValue, -1.745, 0.1, 0.5, 1.4724E-09, -1.4697E-09, -1.1600000000000001E-12, 3.9400000000000006E-12
DataValue, -1.73, 0.1, 0.5, 1.5188E-09, -1.5191E-09, -2.3000000000000003E-12, 2.23E-12
DataValue, -1.715, 0.1, 0.5, 1.5598E-09, -1.5512E-09, -1.9000000000000002E-13, 3.1000000000000004E-13
DataValue, -1.7000000000000002, 0.1, 0.5, 1.5931E-09, -1.5926E-09, -3.0900000000000004E-12, -8.7E-13
DataValue, -1.685, 0.1, 0.5, 1.6535E-09, -1.6551E-09, -5.6E-13, 2.36E-12
DataValue, -1.6700000000000002, 0.1, 0.5, 1.6782E-09, -1.6833E-09, -4.9E-13, 3.4000000000000005E-12
DataValue, -1.655, 0.1, 0.5, 1.7541E-09, -1.7608E-09, -1.26E-12, 6.7500000000000009E-12
DataValue, -1.6400000000000001, 0.1, 0.5, 1.8097E-09, -1.8121E-09, -4.1E-13, 3.8300000000000004E-12
DataValue, -1.625, 0.1, 0.5, 1.8574E-09, -1.858E-09, -2.3300000000000004E-12, 1.51E-12
DataValue, -1.61, 0.1, 0.5, 1.9064E-09, -1.9108E-09, -9.0000000000000008E-14, -6.6E-13
DataValue, -1.595, 0.1, 0.5, 1.9627E-09, -1.9597E-09, -2.9100000000000003E-12, -1.4200000000000002E-12
DataValue, -1.58, 0.1, 0.5, 2.0395E-09, -2.05E-09, -1.1000000000000001E-13, 1.2500000000000001E-12
DataValue, -1.5650000000000002, 0.1, 0.5, 2.0951E-09, -2.0924E-09, -3.6000000000000003E-13, 3.8800000000000004E-12
DataValue, -1.55, 0.1, 0.5, 2.1285E-09, -2.1323E-09, -4.6000000000000006E-13, 7.8E-12
DataValue, -1.5350000000000001, 0.1, 0.5, 2.1683E-09, -2.1717E-09, -9.0000000000000008E-14, 4.02E-12
DataValue, -1.52, 0.1, 0.5, 2.246E-09, -2.256E-09, -1.45E-12, 4.6000000000000006E-13
DataValue, -1.5050000000000001, 0.1, 0.5, 2.3036E-09, -2.2972E-09, -4.0000000000000006E-14, -1.5400000000000001E-12
DataValue, -1.49, 0.1, 0.5, 2.3688E-09, -2.3645E-09, -2.9E-12, -1.5600000000000002E-12
DataValue, -1.475, 0.1, 0.5, 2.4509E-09, -2.4485E-09, -6.3E-13, 7E-13
DataValue, -1.46, 0.1, 0.5, 2.5284E-09, -2.5439E-09, 1.5000000000000002E-13, 3.58E-12
DataValue, -1.445, 0.1, 0.5, 2.6267E-09, -2.6281E-09, -4.1E-13, 6.21E-12
DataValue, -1.4300000000000002, 0.1, 0.5, 2.7129E-09, -2.7135E-09, 4.8000000000000008E-13, 2.8600000000000003E-12
DataValue, -1.415, 0.1, 0.5, 2.7713E-09, -2.7548E-09, -1.5600000000000002E-12, -1.4E-13
DataValue, -1.4000000000000001, 0.1, 0.5, 2.844E-09, -2.8415E-09, 3.6000000000000003E-13, -2.19E-12
DataValue, -1.385, 0.1, 0.5, 2.9165E-09, -2.9103E-09, -2.72E-12, -2.6000000000000002E-12
DataValue, -1.37, 0.1, 0.5, 3.0511E-09, -3.039E-09, -2.5E-13, 1.02E-12
DataValue, -1.355, 0.1, 0.5, 3.1626E-09, -3.1739E-09, 1.3E-13, 2.9E-12
DataValue, -1.34, 0.1, 0.5, 3.293E-09, -3.3145E-09, 2.1000000000000001E-13, 7.27E-12
DataValue, -1.325, 0.1, 0.5, 3.3629E-09, -3.3821E-09, 9.3E-13, 2.75E-12
DataValue, -1.31, 0.1, 0.5, 3.4991E-09, -3.4998E-09, -1.2800000000000002E-12, 1.8000000000000002E-13
DataValue, -1.2950000000000002, 0.1, 0.5, 3.5567E-09, -3.5503E-09, 5.8000000000000005E-13, -2.1000000000000003E-12
DataValue, -1.28, 0.1, 0.5, 3.681E-09, -3.6736E-09, -3.2700000000000004E-12, -3.2200000000000004E-12
DataValue, -1.2650000000000001, 0.1, 0.5, 3.7811E-09, -3.7852E-09, -3.4E-13, -3.2000000000000005E-13
DataValue, -1.25, 0.1, 0.5, 3.8898E-09, -3.8545E-09, -2.4000000000000004E-13, 2.9800000000000002E-12
DataValue, -1.235, 0.1, 0.5, 4.0462E-09, -4.0706E-09, 1.0000000000000002E-14, 8.3000000000000014E-12
DataValue, -1.22, 0.1, 0.5, 4.146E-09, -4.1573E-09, 1.4300000000000002E-12, 3.33E-12
DataValue, -1.205, 0.1, 0.5, 4.2867E-09, -4.2884E-09, 2.2000000000000002E-13, 1.65E-12
DataValue, -1.19, 0.1, 0.5, 4.4411E-09, -4.4037E-09, 8.9E-13, -2.2200000000000002E-12
DataValue, -1.175, 0.1, 0.5, 4.5536E-09, -4.5383E-09, -3.4200000000000004E-12, -3.15E-12
DataValue, -1.1600000000000001, 0.1, 0.5, 4.7491E-09, -4.7476E-09, -2.5E-13, -5.1E-13
DataValue, -1.145, 0.1, 0.5, 4.8839E-09, -4.8674E-09, 3.0000000000000003E-13, 3.46E-12
DataValue, -1.1300000000000001, 0.1, 0.5, 4.9915E-09, -4.9932E-09, 1.2000000000000001E-12, 8.97E-12
DataValue, -1.115, 0.1, 0.5, 5.1501E-09, -5.1571E-09, -4.5000000000000005E-13, 4.2500000000000007E-12
DataValue, -1.1, 0.1, 0.5, 5.32E-09, -5.2968E-09, -5.9E-13, -5.6E-13
DataValue, -1.085, 0.1, 0.5, 5.4524E-09, -5.3927E-09, -2.0000000000000003E-14, -3.02E-12
DataValue, -1.07, 0.1, 0.5, 5.6281E-09, -5.648E-09, -3.2E-12, -4.38E-12
DataValue, -1.0550000000000002, 0.1, 0.5, 5.7515E-09, -5.7568E-09, 4.9E-13, 5.1E-13
DataValue, -1.04, 0.1, 0.5, 5.947E-09, -5.9508E-09, 6.400000000000001E-13, 4.6100000000000008E-12
DataValue, -1.0250000000000001, 0.1, 0.5, 6.1302E-09, -6.1073E-09, 1.31E-12, 7.0800000000000005E-12
DataValue, -1.01, 0.1, 0.5, 6.3305E-09, -6.3869E-09, 2.26E-12, 2.62E-12
DataValue, -0.995, 0.1, 0.5, 6.5391E-09, -6.5691E-09, 1.04E-12, -1.86E-12
DataValue, -0.98000000000000009, 0.1, 0.5, 6.8276E-09, -6.7875E-09, 3.8000000000000005E-13, -3.1400000000000004E-12
